h3_index,priority_score,priority_tier,recommended_action,violation_count,severity_mean,recurrence_score,is_hotspot,hotspot_rank,congestion_score,police_station,top_violation,top_vehicle,lat,lng
896189266abffff,0.8015603378737226,IMMEDIATE,Deploy patrol unit — critical hotspot with high recurrence,337,0.7824925816023739,0.06752411575562701,True,10,0.646601486128849,Electronic City,NO PARKING,SCOOTER,12.839159727030651,77.67712517552575
8960169644fffff,0.7990242636928314,HIGH,Schedule enforcement sweep within 24 hours,361,0.7299168975069252,0.15770609318996415,True,6,0.6493439135898511,Yelahanka,WRONG PARKING,SCOOTER,13.092845123558911,77.5941261893677
8960145913bffff,0.796727239124514,HIGH,Schedule enforcement sweep within 24 hours,328,0.774390243902439,0.061488673139158574,True,5,0.6552107690639298,Peenya,NO PARKING,PASSENGER AUTO,13.0396264138995,77.51862330049558
89601459053ffff,0.7947442273489473,HIGH,Schedule enforcement sweep within 24 hours,188,0.852127659574468,0.0625,True,15,0.5690738190270074,Jalahalli,NO PARKING,SCOOTER,13.051286783073248,77.5519020737856
8960145b59bffff,0.7911896285394888,HIGH,Schedule enforcement sweep within 24 hours,8585,0.7276412347117064,0.11280829596412556,True,1,0.9869089303562398,City Market,WRONG PARKING,SCOOTER,12.96465116440439,77.57632508363632
896014581cfffff,0.790714939954421,HIGH,Schedule enforcement sweep within 24 hours,209,0.8459330143540671,0.03482587064676617,True,13,0.576243694011605,Kamakshipalya,NO PARKING,SCOOTER,12.988401646848951,77.49973691766836
8961892ce8bffff,0.7906267930335774,HIGH,Schedule enforcement sweep within 24 hours,54,0.9,0.20512820512820512,True,40,0.404822886646725,Hennuru,NO PARKING,MOTOR CYCLE,13.048918234688225,77.63011336768403
8960145904fffff,0.7807771898798563,HIGH,Schedule enforcement sweep within 24 hours,132,0.8484848484848485,0.07017543859649122,True,19,0.5055964230338919,Jalahalli,NO PARKING,CAR,13.05557386914894,77.54716032518735
896016966afffff,0.7770808690754822,HIGH,Schedule enforcement sweep within 24 hours,122,0.8950819672131147,0.01680672268907563,True,16,0.5157724382497304,Yelahanka,NO PARKING,MOTOR CYCLE,13.100336776688025,77.59003802881873
8960145b427ffff,0.7664860538632261,HIGH,Schedule enforcement sweep within 24 hours,7369,0.8142353100827793,0.14288231148696265,True,1,0.9979263253645129,Upparpet,NO PARKING,CAR,12.97746783062643,77.57894671319185
89601697463ffff,0.761802064906504,HIGH,Schedule enforcement sweep within 24 hours,106,0.8584905660377359,0.019230769230769232,True,23,0.49961399248997784,Chikkajala,NO PARKING,MOTOR CYCLE,13.143010438256834,77.61845699755027
8961892da23ffff,0.7585826574701531,HIGH,Schedule enforcement sweep within 24 hours,206,0.7203883495145631,0.04591836734693878,True,12,0.5839583096909823,Yelahanka,NO PARKING,MAXI-CAB,13.120533557197918,77.63072498473119
8961892c3c7ffff,0.7429293783535145,HIGH,Schedule enforcement sweep within 24 hours,70,0.8571428571428571,0.014492753623188406,True,21,0.4435140715078102,Hennuru,NO PARKING,CAR,13.05954025045937,77.65197583359235
896016911d7ffff,0.7413293118310295,HIGH,Schedule enforcement sweep within 24 hours,71,0.8492957746478874,0.014285714285714285,True,33,0.45932990619873676,Devanahalli Airport,NO PARKING,CAR,13.244330021368336,77.71240172493725
8961892abbbffff,0.7405357449458516,HIGH,Schedule enforcement sweep within 24 hours,84,0.7642857142857143,0.07692307692307693,True,32,0.4848156235337434,K.R. Pura,WRONG PARKING,MOTOR CYCLE,13.053818408374429,77.76338353135617
89618921a87ffff,0.7354393007099002,HIGH,Schedule enforcement sweep within 24 hours,69,0.844927536231884,0.0,True,18,0.44804299190296176,Mahadevapura,NO PARKING,CAR,13.006773460060563,77.7565355657235
8961892419bffff,0.7350758087916808,HIGH,Schedule enforcement sweep within 24 hours,55,0.8781818181818183,0.0,True,46,0.42103480567744533,Hulimavu,NO PARKING,CAR,12.874705677366546,77.6169324340569
89601459347ffff,0.7311955723902859,HIGH,Schedule enforcement sweep within 24 hours,60,0.8033333333333333,0.05263157894736842,True,38,0.42401422307177894,Jalahalli,NO PARKING,MOTOR CYCLE,13.067372657984176,77.52991038821965
896189246c7ffff,0.7304497573023196,HIGH,Schedule enforcement sweep within 24 hours,73,0.7794520547945205,0.04285714285714286,True,24,0.45551945803148197,HSR Layout,NO PARKING,SCOOTER,12.894856950436097,77.65760363520269
8961892dd8bffff,0.7263808869000792,HIGH,Schedule enforcement sweep within 24 hours,100,0.7170000000000001,0.042105263157894736,True,20,0.4901282733309356,Hennuru,NO PARKING,CAR,13.071352483220462,77.63470936028378
896016961a7ffff,0.7259988378845297,HIGH,Schedule enforcement sweep within 24 hours,45,0.8111111111111111,0.07142857142857142,True,51,0.40420501288335936,Yelahanka,NO PARKING,PASSENGER AUTO,13.082285237805257,77.54700394113785
8961892e9abffff,0.7240713094158728,HIGH,Schedule enforcement sweep within 24 hours,6667,0.7659217039148042,0.15685422550510536,True,1,0.9883794666018298,Shivajinagar,WRONG PARKING,SCOOTER,12.981645967305287,77.60790407487231
8960145a8d7ffff,0.7235788827217209,HIGH,Schedule enforcement sweep within 24 hours,52,0.8269230769230769,0.0196078431372549,True,27,0.4049597154206599,Jnanabharathi,NO PARKING,CAR,12.938214145169601,77.49229694733916
8960145ad8fffff,0.7220093777571872,HIGH,Schedule enforcement sweep within 24 hours,57,0.8087719298245615,0.017857142857142856,True,25,0.42686140977604803,Kengeri,NO PARKING,CAR,12.913677560404265,77.4816763410289
8961892ebcbffff,0.7196608367578741,HIGH,Schedule enforcement sweep within 24 hours,30,0.8466666666666666,0.07407407407407407,True,39,0.35021447988735915,Banaswadi,NO PARKING,PASSENGER AUTO,13.011519161766083,77.62526495287729
89618926b43ffff,0.7164669628655079,HIGH,Schedule enforcement sweep within 24 hours,45,0.82,0.022727272727272728,True,36,0.39278664520460543,Hulimavu,NO PARKING,CAR,12.858784177580333,77.58838613440561
896014583cbffff,0.7160530493431145,HIGH,Schedule enforcement sweep within 24 hours,37,0.7594594594594594,0.12121212121212122,True,41,0.3818809987258963,Peenya,WRONG PARKING,BUS (BMTC/KSRTC),13.01188199240873,77.50733968415042
89618926387ffff,0.7131073318514164,HIGH,Schedule enforcement sweep within 24 hours,814,0.8167076167076166,0.06666666666666667,True,4,0.7665118945660326,Electronic City,NO PARKING,SCOOTER,12.842513524410172,77.64407186156959
8960145917bffff,0.7099374003581135,HIGH,Schedule enforcement sweep within 24 hours,38,0.8421052631578947,0.0,True,42,0.37065050967929963,Jalahalli,NO PARKING,CAR,13.047092868802773,77.5229571799067
89601458c53ffff,0.7054835194832634,HIGH,Schedule enforcement sweep within 24 hours,49,0.7285714285714285,0.06521739130434782,True,28,0.4074728603635593,Kamakshipalya,WRONG PARKING,CAR,12.98418877289989,77.47922950181443
8961892f537ffff,0.7025876768251303,HIGH,Schedule enforcement sweep within 24 hours,47,0.7829787234042552,0.0,True,37,0.3985421526667622,K.R. Pura,WRONG PARKING,CAR,13.019786876174358,77.70853475355906
8961892cca7ffff,0.7024891948328651,HIGH,Schedule enforcement sweep within 24 hours,22,0.7545454545454544,0.15789473684210525,True,50,0.3043686502790999,K.G. Halli,WRONG PARKING,LGV,13.022247318788272,77.61340511069417
8961892f477ffff,0.7020677136450093,HIGH,Schedule enforcement sweep within 24 hours,58,0.7000000000000001,0.05454545454545454,True,34,0.4281020575239487,K.R. Pura,PARKING ON FOOTPATH,MOTOR CYCLE,13.03466908564093,77.73410790738059
89601451207ffff,0.7017888977736834,HIGH,Schedule enforcement sweep within 24 hours,26,0.8692307692307693,0.0,True,54,0.3226219304072158,Kengeri,NO PARKING,SCOOTER,12.910360734992677,77.51467866587252
8961892184bffff,0.701693284237131,HIGH,Schedule enforcement sweep within 24 hours,66,0.7924242424242424,0.015384615384615385,True,18,0.44537570975177965,Mahadevapura,NO PARKING,CAR,13.003566583720598,77.75587691535014
8960169046fffff,0.6982079313751142,HIGH,Schedule enforcement sweep within 24 hours,32,0.825,0.0,True,35,0.3460294064562734,Devanahalli Airport,NO PARKING,CAR,13.197304601114366,77.70556119729233
8960145b5cbffff,0.6966582133451492,HIGH,Schedule enforcement sweep within 24 hours,5992,0.800016688918558,0.13705249286184934,True,1,0.9774347726454594,Upparpet,NO PARKING,SCOOTER,12.974263654955623,77.57829127810561
896016962abffff,0.6946219987117733,HIGH,Schedule enforcement sweep within 24 hours,19,0.8894736842105262,0.0,True,52,0.29120669521682846,Yelahanka,NO PARKING,CAR,13.116400840064316,77.5764620522976
8961892ea27ffff,0.69137177113828,HIGH,Schedule enforcement sweep within 24 hours,29,0.8413793103448277,0.037037037037037035,True,39,0.33752042533655485,Banaswadi,NO PARKING,CAR,13.014724015739867,77.62592130195779
89618926217ffff,0.6898641525107772,HIGH,Schedule enforcement sweep within 24 hours,86,0.6116279069767442,0.03614457831325301,True,29,0.486256712767355,Electronic City,PARKING IN A MAIN ROAD,CAR,12.855262583654103,77.66355198251503
89601458ed3ffff,0.6867182174702984,HIGH,Schedule enforcement sweep within 24 hours,54,0.7037037037037037,0.0,True,43,0.4142590641381761,Kamakshipalya,WRONG PARKING,SCOOTER,12.99911846239125,77.48789035551754
8961892dd5bffff,0.68538569951557,HIGH,Schedule enforcement sweep within 24 hours,71,0.6309859154929577,0.028985507246376812,True,31,0.4461619404938812,Hennuru,WRONG PARKING,SCOOTER,13.084172172476954,77.63733604867382
8961892c517ffff,0.6811586091879831,HIGH,Schedule enforcement sweep within 24 hours,32,0.7625,0.0,True,30,0.34879764869758473,Hennuru,WRONG PARKING,CAR,13.019962811671979,77.65792770712679
89601458367ffff,0.6782183422692547,HIGH,Schedule enforcement sweep within 24 hours,40,0.695,0.02564102564102564,True,44,0.381010739744154,Kamakshipalya,WRONG PARKING,CAR,13.015132203353813,77.49115994056531
89618924b2bffff,0.6762560572591826,HIGH,Schedule enforcement sweep within 24 hours,73,0.6904109589041095,0.0,True,17,0.45222546218046716,K.S. Layout,NO PARKING,SCOOTER,12.90703851405703,77.54769258583485
89618920e93ffff,0.6735745880660753,HIGH,Schedule enforcement sweep within 24 hours,55,0.6509090909090909,0.03773584905660377,True,22,0.4213972169670633,Whitefield,PARKING IN A MAIN ROAD,SCOOTER,12.938337903550094,77.74811378700548
89618924b63ffff,0.6733734722624477,HIGH,Schedule enforcement sweep within 24 hours,76,0.5526315789473685,0.05555555555555555,True,17,0.4607845713975685,K.S. Layout,PARKING IN A MAIN ROAD,CAR,12.911300172600205,77.55137190265266
89601696217ffff,0.6717993266017573,HIGH,Schedule enforcement sweep within 24 hours,18,0.8555555555555556,0.058823529411764705,True,52,0.28387767560097116,Yelahanka,NO PARKING,SCOOTER,13.117461726903105,77.57948970086345
89618920e8bffff,0.6691945410628727,HIGH,Schedule enforcement sweep within 24 hours,56,0.6339285714285714,0.0,True,22,0.4156839844488212,Whitefield,WRONG PARKING,CAR,12.94369431508861,77.74639825363772
8960145165bffff,0.660609086592726,HIGH,Schedule enforcement sweep within 24 hours,67,0.7746268656716417,0.015151515151515152,True,17,0.44716025311857444,K.S. Layout,WRONG PARKING,SCOOTER,12.904922851122747,77.54164393239839
89601696193ffff,0.6592511262642334,HIGH,Schedule enforcement sweep within 24 hours,16,0.725,0.06666666666666667,True,49,0.264930469719853,Yelahanka,WRONG PARKING,CAR,13.08118037191413,77.56082549837949
8960145a1a7ffff,0.6587510897356103,HIGH,Schedule enforcement sweep within 24 hours,7,0.9,0.0,True,57,0.17809899046170147,Kengeri,NO PARKING,CAR,12.925318822203097,77.51492623005772
8961892e673ffff,0.6513249131306226,HIGH,Schedule enforcement sweep within 24 hours,22,0.7090909090909091,0.0,True,45,0.3080941857728726,K.R. Pura,WRONG PARKING,SCOOTER,13.005873190443685,77.7113086414493
8961892c8d7ffff,0.6490904032506779,HIGH,Schedule enforcement sweep within 24 hours,20,0.715,0.0,True,47,0.2901027818636176,Hebbala,WRONG PARKING,CAR,13.042560917919294,77.61194199987042
8961892cc6bffff,0.6489109793097143,HIGH,Schedule enforcement sweep within 24 hours,17,0.888235294117647,0.13333333333333333,True,47,0.2876685191465363,Hennuru,NO PARKING,TEMPO,13.041475337916294,77.61734235530811
8961892e2bbffff,0.6465358285165148,HIGH,Schedule enforcement sweep within 24 hours,3332,0.7131152460984393,0.1316270566727605,True,2,0.9712221576397408,K.R. Pura,WRONG PARKING,SCOOTER,13.009140358493172,77.69509425538708
896014591b7ffff,0.6450065313897179,HIGH,Schedule enforcement sweep within 24 hours,28,0.65,0.0,True,48,0.33468852725086096,Peenya,WRONG PARKING,CAR,13.027873684485304,77.51902993135819
8960145ad87ffff,0.6444954673111718,HIGH,Schedule enforcement sweep within 24 hours,49,0.8163265306122449,0.0,True,25,0.40620033737366984,Kengeri,NO PARKING,CAR,12.910474822893786,77.4810227712618
896016900d7ffff,0.6424201890686456,HIGH,Schedule enforcement sweep within 24 hours,27,0.8925925925925926,0.038461538461538464,True,35,0.33093089118958624,Devanahalli Airport,NO PARKING,CAR,13.19944898389955,77.70318616352458
8961892c503ffff,0.6355888105625407,HIGH,Schedule enforcement sweep within 24 hours,28,0.8071428571428572,0.037037037037037035,True,30,0.33050457928221044,Hennuru,NO PARKING,CAR,13.02316815852389,77.65858465432468
8961892e917ffff,0.633488907898558,HIGH,Schedule enforcement sweep within 24 hours,4874,0.7696553139105456,0.13349068974560713,True,1,0.9750709928452373,Shivajinagar,WRONG PARKING,SCOOTER,12.982704611494386,77.61093157697483
8960144b5a3ffff,0.6307719316278783,HIGH,Schedule enforcement sweep within 24 hours,14,0.7,0.0,True,56,0.24998318398488578,No Police Station,WRONG PARKING,HGV,13.06864073307749,77.44875953257177
89618934ac7ffff,0.621811487751268,HIGH,Schedule enforcement sweep within 24 hours,20,0.515,0.1111111111111111,True,53,0.29480276963022695,Electronic City,PARKING IN A MAIN ROAD,CAR,12.804832598630274,77.69821509186703
89601696687ffff,0.6180135939339482,HIGH,Schedule enforcement sweep within 24 hours,258,0.7310077519379845,0.0321285140562249,True,6,0.60606352690064,Yelahanka,WRONG PARKING,SCOOTER,13.097109849261004,77.59781029344622
8961892ea37ffff,0.6157893847046535,HIGH,Schedule enforcement sweep within 24 hours,22,0.9,0.17647058823529413,True,39,0.3048048196051071,Banaswadi,NO PARKING,SCOOTER,13.012578166186834,77.62829339826756
8960145a26bffff,0.6154561972025633,HIGH,Schedule enforcement sweep within 24 hours,3653,0.7866411168902272,0.29225352112676056,True,1,0.964051398363938,Vijayanagara,WRONG PARKING,SCOOTER,12.97437379053479,77.54460425854465
8960169601bffff,0.6122813483912595,HIGH,Schedule enforcement sweep within 24 hours,85,0.848235294117647,0.06578947368421052,True,16,0.4758195659113867,Yelahanka,NO PARKING,CAR,13.099298510026859,77.5785829578226
8960169052fffff,0.6096286507115589,HIGH,Schedule enforcement sweep within 24 hours,1286,0.7644634525660965,0.06610878661087866,True,3,0.8118996198988826,Chikkajala,NO PARKING,CAR,13.182402701570084,77.67998407618401
8961892c5abffff,0.608959393051212,HIGH,Schedule enforcement sweep within 24 hours,28,0.7428571428571429,0.0,True,30,0.33486414341361476,Banaswadi,WRONG PARKING,CAR,13.018903862127571,77.65489808117819
8960145b3a7ffff,0.6076519517681471,HIGH,Schedule enforcement sweep within 24 hours,4293,0.76743535988819,0.14842531961334582,True,1,0.9639452947126056,Rajajinagar,WRONG PARKING,SCOOTER,13.000003175983794,77.54984346680071
89618921d27ffff,0.6076402898847961,HIGH,Schedule enforcement sweep within 24 hours,6,0.7333333333333334,0.0,True,58,0.1602389172544789,Whitefield,WRONG PARKING,CAR,12.96941626426933,77.7347880656445
8961892e9bbffff,0.6015807717166701,HIGH,Schedule enforcement sweep within 24 hours,4257,0.7898989898989899,0.10612597066436583,True,1,0.9426726054021296,Shivajinagar,WRONG PARKING,PASSENGER AUTO,12.979499946671595,77.61027556237418
8961892f473ffff,0.6013383851459002,HIGH,Schedule enforcement sweep within 24 hours,45,0.78,0.046511627906976744,True,34,0.3881614122565565,K.R. Pura,WRONG PARKING,CAR,13.03572782390332,77.7371406432348
89618924b2fffff,0.592755134715634,MODERATE,Include in weekly enforcement rotation,61,0.6327868852459017,0.07017543859649122,True,17,0.4340321025788898,K.S. Layout,PARKING IN A MAIN ROAD,CAR,12.905980682774187,77.54466819716752
8961892cc6fffff,0.5856028332369899,MODERATE,Include in weekly enforcement rotation,18,0.6777777777777777,0.0,True,47,0.2814026482179399,K.G. Halli,WRONG PARKING,SCOOTER,13.040415828965898,77.61431403569954
89618927143ffff,0.5833182520176129,MODERATE,Include in weekly enforcement rotation,9,0.5888888888888889,0.0,True,55,0.20363458948115237,Bellandur,PARKING IN A MAIN ROAD,CAR,12.888376101950733,77.67314867741027
8961892ea47ffff,0.5729551293476413,MODERATE,Include in weekly enforcement rotation,233,0.7300429184549356,0.008658008658008658,True,7,0.5934105559697492,Banaswadi,WRONG PARKING,SCOOTER,13.022165250482654,77.63869264171262
896014583c3ffff,0.5477940320519213,MODERATE,Include in weekly enforcement rotation,26,0.8038461538461538,0.04,True,41,0.3275116899938845,Peenya,NO PARKING,PASSENGER AUTO,13.008678975658661,77.5066854492692
89618924b77ffff,0.5467261826821901,MODERATE,Include in weekly enforcement rotation,59,0.5796610169491526,0.0,True,17,0.4246589537166231,K.S. Layout,PARKING IN A MAIN ROAD,MOPED,12.908096344959981,77.55071709839109
89601459eafffff,0.5443674350578566,MODERATE,Include in weekly enforcement rotation,163,0.7141104294478527,0.2265625,True,5,0.5555153046098249,Peenya,WRONG PARKING,SCOOTER,13.04822039650394,77.50072450382113
8960145824fffff,0.5442798815854064,MODERATE,Include in weekly enforcement rotation,21,0.7285714285714285,0.05,True,48,0.29824989204583785,Peenya,WRONG PARKING,HGV,13.025730315711574,77.52140002104102
8961892e937ffff,0.536333518720916,MODERATE,Include in weekly enforcement rotation,3079,0.7849626502111076,0.09596713965646005,True,1,0.9302787716594982,Shivajinagar,WRONG PARKING,PASSENGER AUTO,12.982733210890897,77.60250530686746
896014581cbffff,0.5340206508345714,MODERATE,Include in weekly enforcement rotation,114,0.831578947368421,0.018018018018018018,True,13,0.5061377791745835,Kamakshipalya,NO PARKING,CAR,12.989461000438705,77.50276042730142
8960145a24fffff,0.529842563659296,MODERATE,Include in weekly enforcement rotation,2514,0.8760540970564837,0.09642857142857143,True,1,0.9027462603108176,Magadi Road,NO PARKING,SCOOTER,12.973287826618714,77.54999956782973
89618921a83ffff,0.5295762034913707,MODERATE,Include in weekly enforcement rotation,39,0.8846153846153846,0.08333333333333333,True,18,0.3765847360305325,Mahadevapura,NO PARKING,MOTOR CYCLE,13.00783164546451,77.75956886200628
89601459e87ffff,0.5279531251969638,MODERATE,Include in weekly enforcement rotation,175,0.7371428571428571,0.04878048780487805,True,5,0.5649819080731233,Chikkabanavara,WRONG PARKING,PASSENGER AUTO,13.044995209010441,77.50848857222482
896016964b7ffff,0.5240195052186554,MODERATE,Include in weekly enforcement rotation,2804,0.7566690442225391,0.13872301332108405,True,1,0.9073993855999402,Kodigehalli,WRONG PARKING,SCOOTER,13.07255955260552,77.58716314506412
8960145b4cbffff,0.5178078287841815,MODERATE,Include in weekly enforcement rotation,2009,0.7741164758586362,0.28258706467661693,True,1,0.8564551780426922,Shivajinagar,WRONG PARKING,SCOOTER,12.98167451890872,77.59947811999245
8961892716bffff,0.5156485944639561,MODERATE,Include in weekly enforcement rotation,5,0.9199999999999999,0.3333333333333333,True,55,0.1411122706794302,Electronic City,NO PARKING,CAR,12.891616789765445,77.66537589972586
8960145b543ffff,0.5122211077829774,MODERATE,Include in weekly enforcement rotation,2914,0.736684969114619,0.08809891808346214,True,1,0.92587976459411,Upparpet,WRONG PARKING,CAR,12.978554434046352,77.57354967361115
8960145b30fffff,0.50729671545815,MODERATE,Include in weekly enforcement rotation,2592,0.7776620370370371,0.09579230080572963,True,1,0.9148581591694642,Malleshwaram,WRONG PARKING,PASSENGER AUTO,13.010673683143166,77.55483414866346
8961892e387ffff,0.5047684299067066,MODERATE,Include in weekly enforcement rotation,1837,0.7391943385955363,0.07074340527577938,True,2,0.87332514074695,Banaswadi,NO PARKING,PASSENGER AUTO,12.999583246892685,77.67625343565611
89618925b7bffff,0.5040016130310052,MODERATE,Include in weekly enforcement rotation,2655,0.7887005649717514,0.05557809330628803,True,1,0.9045086399576799,Halasuru Gate,WRONG PARKING,SCOOTER,12.964622554379812,77.58474838218396
8960145b307ffff,0.500972780312722,MODERATE,Include in weekly enforcement rotation,2524,0.7758320126782885,0.08786231884057971,True,1,0.9026103542469469,Malleshwaram,WRONG PARKING,CAR,13.007469925642374,77.55417907160238
896016962bbffff,0.4997408728678123,MODERATE,Include in weekly enforcement rotation,12,0.725,0.2,True,52,0.23529969813988608,Yelahanka,NO PARKING,CAR,13.114257742062607,77.57883395815556
8960145b2a7ffff,0.49772450178571526,MODERATE,Include in weekly enforcement rotation,2498,0.7732185748598879,0.08360732738374824,True,1,0.9019970731895359,Malleshwaram,WRONG PARKING,CAR,13.007417927733565,77.57102461180281
8960145b5c7ffff,0.49689388453195077,MODERATE,Include in weekly enforcement rotation,2394,0.7760233918128655,0.10158572844400396,True,1,0.8986084552737786,City Market,WRONG PARKING,SCOOTER,12.970000833394062,77.57460972111427
896016960dbffff,0.49586320418013313,MODERATE,Include in weekly enforcement rotation,61,0.8704918032786886,0.016666666666666666,True,16,0.4264553856754532,Yelahanka,NO PARKING,SCOOTER,13.099276211888787,77.58701015321536
8961892c9d7ffff,0.4954537951605126,MODERATE,Include in weekly enforcement rotation,1754,0.8591220068415052,0.16251830161054173,True,1,0.8620543823307479,Hebbala,NO PARKING,SCOOTER,13.035144005155646,77.5907477030071
8960145b377ffff,0.49495906506707404,MODERATE,Include in weekly enforcement rotation,2163,0.7935275080906148,0.1298326601269475,True,1,0.9070300309340524,Malleshwaram,WRONG PARKING,CAR,13.012818011780556,77.55246351391641
8961892c553ffff,0.49227346433292735,MODERATE,Include in weekly enforcement rotation,19,0.8789473684210526,0.0,True,30,0.29154553557825363,Hennuru,NO PARKING,SCOOTER,13.028491588082474,77.66530146696881
8960145b55bffff,0.49073833962458613,MODERATE,Include in weekly enforcement rotation,2213,0.7897876186172617,0.1046137339055794,True,1,0.9084427361903581,Upparpet,WRONG PARKING,CAR,12.979613223528302,77.57657585825223
8961892185bffff,0.49039727525891874,MODERATE,Include in weekly enforcement rotation,39,0.7923076923076923,0.02631578947368421,True,18,0.382636848477777,Mahadevapura,WRONG PARKING,CAR,13.001417808358338,77.75825146769112
89618920e9bffff,0.48775889954380397,MODERATE,Include in weekly enforcement rotation,35,0.6885714285714285,0.029411764705882353,True,22,0.3606443923136753,Whitefield,WRONG PARKING,CAR,12.941544747114996,77.74877216044263
8960145b6a7ffff,0.4866084682534349,MODERATE,Include in weekly enforcement rotation,1637,0.7114844227244961,0.32171581769436997,True,1,0.8315553094694219,High ground,WRONG PARKING,SCOOTER,12.99240244249606,77.587621962968
89601451263ffff,0.4844726910360592,MODERATE,Include in weekly enforcement rotation,5,0.82,0.0,True,57,0.13973162264880168,Kengeri,NO PARKING,SCOOTER,12.91891234183084,77.5136178765356
89618920b0fffff,0.4805531332376592,MODERATE,Include in weekly enforcement rotation,1318,0.8102427921092565,0.10411198600174978,True,2,0.8093238669732978,HAL Old Airport,NO PARKING,SCOOTER,12.957781055162462,77.701442892283
89601459173ffff,0.4768181666104745,MODERATE,Include in weekly enforcement rotation,22,0.8272727272727273,0.0,True,42,0.3035070934461133,Chikkabanavara,NO PARKING,SCOOTER,13.043889657129908,77.52230259234794
896014580afffff,0.47455303251962627,MODERATE,Include in weekly enforcement rotation,98,0.7908163265306123,0.0,True,13,0.48597664023898496,Kamakshipalya,NO PARKING,CAR,12.98837663975394,77.5081536010024
8960145925bffff,0.46789313255242027,MODERATE,Include in weekly enforcement rotation,11,0.7,0.0,True,49,0.22212548343963462,Yelahanka,WRONG PARKING,CAR,13.07691622876767,77.55714362904304
8960145900fffff,0.4653286437411938,MODERATE,Include in weekly enforcement rotation,85,0.7870588235294118,0.024390243902439025,True,15,0.4659555308933849,Jalahalli,WRONG PARKING,CAR,13.048106691545124,77.5428245562972
8961892e9a3ffff,0.46332290671442666,MODERATE,Include in weekly enforcement rotation,1577,0.8019023462270133,0.14273127753303966,True,1,0.8468638422161395,Shivajinagar,NO PARKING,SCOOTER,12.97844134799895,77.60724811631391
8960145b16bffff,0.4627245657475174,MODERATE,Include in weekly enforcement rotation,1891,0.7577472236911686,0.1062992125984252,True,1,0.8687448255074385,Vijayanagara,WRONG PARKING,SCOOTER,12.996799481813879,77.54918850116988
8961892717bffff,0.46215274055461025,MODERATE,Include in weekly enforcement rotation,6,0.7999999999999999,0.0,True,55,0.15978198452843387,Electronic City,NO PARKING,MOTOR CYCLE,12.889468065059102,77.66774782284168
8961892dda3ffff,0.4584845014079066,MODERATE,Include in weekly enforcement rotation,43,0.8837209302325582,0.04878048780487805,True,20,0.3852136924624218,Hennuru,NO PARKING,SCOOTER,13.0681728789578,77.62562194199982
